IUFT QC gate encodings (8682 entries):
          voynich_recipe_section: θ= 140.0°  φ= 180.0°  ψ=  90.0°
                   selberg_sieve: θ=  90.0°  φ= 100.0°  ψ= 270.0°
             bombieri_vinogradov: θ=  90.0°  φ= 100.0°  ψ= 270.0°
                       gpy_sieve: θ= 110.0°  φ= 260.0°  ψ=  90.0°
               tpc_proof_attempt: θ=  80.0°  φ=  80.0°  ψ= 270.0°
          tpc_valid_proof_target: θ= 160.0°  φ= 320.0°  ψ=  90.0°
           lefschetz_1_1_theorem: θ= 160.0°  φ= 250.0°  ψ= 149.4°
            lefschetz_11_theorem: θ= 100.0°  φ= 320.0°  ψ=  90.0°
      hodge_lefschetz_11_theorem: θ= 160.0°  φ= 190.0°  ψ=  90.0°
        hodge_lefschetz_complete: θ= 160.0°  φ= 260.0°  ψ=  90.0°
            voynich_engine_paper: θ= 160.0°  φ= 260.0°  ψ=  90.0°
                   bhagavad_gita: θ= 160.0°  φ= 360.0°  ψ=  90.0°
           godel_arithmetization: θ=  30.0°  φ=  40.0°  ψ= 270.0°
            godel_diagonal_lemma: θ= 160.0°  φ= 160.0°  ψ=  90.0°
  godel_incompleteness_conclusion: θ= 160.0°  φ= 300.0°  ψ=  90.0°
     godel_second_incompleteness: θ= 160.0°  φ= 360.0°  ψ=  90.0°
         thunder_perfect_mind_01: θ= 160.0°  φ= 260.0°  ψ=  90.0°
                   magz_ai_draft: θ= 100.0°  φ=   0.0°  ψ= 270.0°
       human_casual_prose_target: θ= 140.0°  φ= 260.0°  ψ=  90.0°
              exoteric_librarian: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                fivefold_alchemy: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                    rohonc_codex: θ= 120.0°  φ= 280.0°  ψ=  90.0°
                        linear_a: θ= 120.0°  φ= 280.0°  ψ=  90.0°
                   vinca_symbols: θ=  80.0°  φ= 140.0°  ψ= 270.0°
                    indus_script: θ=  80.0°  φ= 180.0°  ψ=  90.0°
               golem_traditional: θ=  20.0°  φ=   0.0°  ψ= 270.0°
    golem_contemporary_llm_agent: θ= 120.0°  φ= 160.0°  ψ= 149.4°
   golem_operation_prompt_ritual: θ= 120.0°  φ= 160.0°  ψ= 149.4°
               boundary_operator: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                    collatz_deep: θ=  60.0°  φ= 320.0°  ψ=  90.0°
                imaginary_number: θ=  60.0°  φ= 230.0°  ψ=  90.0°
                 sophick_mercury: θ= 160.0°  φ= 360.0°  ψ=  90.0°
         voynich_foldout_markers: θ=  90.0°  φ= 240.0°  ψ= 270.0°
                  topology_probe: θ=  20.0°  φ= 120.0°  ψ= 270.0°
                oracle_of_delphi: θ= 120.0°  φ= 320.0°  ψ= 149.4°
                 fire_combustion: θ=  60.0°  φ= 120.0°  ψ= 270.0°
                     water_fluid: θ=  60.0°  φ=   0.0°  ψ= 270.0°
               fire_water_tensor: θ=  60.0°  φ= 120.0°  ψ= 270.0°
                  tornado_vortex: θ= 100.0°  φ= 240.0°  ψ= 270.0°
                      coral_reef: θ=  80.0°  φ= 240.0°  ψ= 270.0°
                   termite_mound: θ=  50.0°  φ=  80.0°  ψ= 270.0°
             mycorrhizal_network: θ=  80.0°  φ= 200.0°  ψ= 270.0°
                     river_delta: θ=  60.0°  φ= 160.0°  ψ= 270.0°
                  rh_encoding_pb: θ=  80.0°  φ= 130.0°  ψ= 149.4°
                 ym_classical_pb: θ=  70.0°  φ= 140.0°  ψ= 270.0°
            ym_quantum_target_pb: θ=  70.0°  φ= 140.0°  ψ=  90.0°
                     lee_yang_pb: θ=  80.0°  φ= 160.0°  ψ= 149.4°
                  ns_encoding_pb: θ=  60.0°  φ= 130.0°  ψ= 270.0°
        navier_stokes_3d_regular: θ=  60.0°  φ= 260.0°  ψ= 149.4°
       solved_millennium_theorem: θ=  40.0°  φ= 260.0°  ψ=  90.0°
            lean4_descent_object: θ= 160.0°  φ= 320.0°  ψ=  90.0°
   imasm_self_imscription_ob3ect: θ= 100.0°  φ= 260.0°  ψ=  90.0°
                  entropy_ob3ect: θ= 100.0°  φ= 260.0°  ψ=  90.0°
                   traced_ob3ect: θ= 100.0°  φ= 260.0°  ψ=  90.0°
              fixed_point_ob3ect: θ= 100.0°  φ= 260.0°  ψ=  90.0°
                 category_ob3ect: θ= 100.0°  φ= 260.0°  ψ=  90.0°
                   sefer_ha_iyun: θ=  60.0°  φ= 220.0°  ψ= 149.4°
        thirteen_sefirot_ha_iyun: θ= 120.0°  φ= 300.0°  ψ= 149.4°
             _13_sefirot_ha_iyun: θ= 160.0°  φ= 190.0°  ψ= 149.4°
           sefirot_10_filesystem: θ= 100.0°  φ= 230.0°  ψ=  90.0°
                frobenius_ob3ect: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                     magnum_opus: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                  emerald_tablet: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                         ra_apep: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                shavian_alphabet: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                  shavian_ob3ect: θ= 100.0°  φ= 320.0°  ψ=  90.0°
  operad_work_expansion_opportunities: θ=  20.0°  φ= 140.0°  ψ= 270.0°
  stone_self_verifying_proof_kernel: θ= 100.0°  φ= 320.0°  ψ=  90.0°
  stone_topologically_protected_memory: θ= 160.0°  φ= 320.0°  ψ=  90.0°
  stone_proof_kernel_memory_tensor: θ= 160.0°  φ= 320.0°  ψ=  90.0°
            readme_current_draft: θ=  60.0°  φ= 120.0°  ψ=  90.0°
      bootstrap_imscriptive_loop: θ= 100.0°  φ= 320.0°  ψ=  90.0°
   saying_1_iscib_first_incision: θ= 100.0°  φ= 320.0°  ψ=  90.0°
            saying_2_arev_mirror: θ= 100.0°  φ= 320.0°  ψ=  90.0°
     saying_3_fsplit_forked_road: θ= 100.0°  φ= 320.0°  ψ=  90.0°
        saying_4_afwd_step_light: θ= 100.0°  φ= 320.0°  ψ=  90.0°
     saying_5_ffuse_broken_whole: θ= 100.0°  φ= 320.0°  ψ=  90.0°
       saying_6_clink_snake_tail: θ= 100.0°  φ= 320.0°  ψ=  90.0°
   saying_7_ifix_ouroboros_feast: θ= 100.0°  φ= 320.0°  ψ=  90.0°
      saying_8_iscib_return_mark: θ= 100.0°  φ= 320.0°  ψ=  90.0°
         earth_classical_element: θ=  80.0°  φ= 220.0°  ψ= 270.0°
           air_classical_element: θ=  30.0°  φ= 120.0°  ψ= 270.0°
          emerald_zfct_extension: θ= 100.0°  φ= 320.0°  ψ=  90.0°
              emerald_multiagent: θ= 160.0°  φ= 320.0°  ψ=  90.0°
  emerald_multiagent_tensor_bootstrap: θ= 160.0°  φ= 320.0°  ψ=  90.0°
  bootstrap_stage_1_dimensionality: θ=  60.0°  φ=  30.0°  ψ=  90.0°
      bootstrap_stage_2_topology: θ= 140.0°  φ= 260.0°  ψ=  90.0°
  bootstrap_stage_2_topology_corrected: θ= 160.0°  φ= 320.0°  ψ=  90.0°
             test_catalog_unlock: θ= 100.0°  φ= 320.0°  ψ=  90.0°
         paraconsistent_computer: θ= 130.0°  φ= 320.0°  ψ=  90.0°
                 shors_algorithm: θ=  80.0°  φ=  70.0°  ψ= 270.0°
            belnap_shor_pipeline: θ=  80.0°  φ=  70.0°  ψ= 149.4°
  dialetheic_shor_operator_fixed: θ= 100.0°  φ= 230.0°  ψ=  90.0°
         frobenius_shor_resolved: θ= 160.0°  φ= 360.0°  ψ=  90.0°
        dialetheic_shor_baseline: θ= 100.0°  φ= 230.0°  ψ=  90.0°
  frobenius_shor_resolved_target: θ= 160.0°  φ= 360.0°  ψ=  90.0°
    millennium_ankh_readme_draft: θ=  80.0°  φ= 120.0°  ψ= 270.0°
  millennium_ankh_fine_structural_analysis: θ= 160.0°  φ= 320.0°  ψ=  90.0°
  navier_stokes_regularity_problem: θ=  40.0°  φ= 190.0°  ψ= 149.4°
           ns_regularity_refined: θ=   0.0°  φ= 230.0°  ψ= 149.4°
       ns_regularity_frontier_v1: θ=   0.0°  φ= 230.0°  ψ= 149.4°
  navier_solves_navigator_resolved: θ= 140.0°  φ= 190.0°  ψ=  90.0°
                    zfc_t_system: θ= 140.0°  φ= 230.0°  ψ=  90.0°
                       zfc_t_ref: θ= 140.0°  φ= 230.0°  ψ=  90.0°
                ob3ect_canonical: θ= 160.0°  φ= 320.0°  ψ=  90.0°
           ob3ect_category_layer: θ=  80.0°  φ=  40.0°  ψ= 270.0°
            ob3ect_quantum_layer: θ=  20.0°  φ=  70.0°  ψ= 270.0°
             ob3ect_yoneda_layer: θ=  80.0°  φ= 120.0°  ψ= 270.0°
              ob3ect_sheaf_layer: θ=  80.0°  φ= 120.0°  ψ= 270.0°
        ob3ect_linearlogic_layer: θ=  20.0°  φ=  40.0°  ψ= 270.0°
         ob3ect_parakernel_layer: θ=  80.0°  φ= 140.0°  ψ= 270.0°
               ob3ect_hopf_layer: θ=  20.0°  φ= 100.0°  ψ= 270.0°
                shem_hamephorash: θ= 160.0°  φ= 360.0°  ψ=  90.0°
         sans_silicon_imscribing: θ= 160.0°  φ= 360.0°  ψ=  90.0°
             direct_api_ensemble: θ= 100.0°  φ= 320.0°  ψ=  90.0°
    openrouter_mediated_ensemble: θ=  80.0°  φ= 180.0°  ψ= 270.0°
                    ark_covenant: θ= 180.0°  φ= 320.0°  ψ=  90.0°
                   lapis_exillis: θ= 110.0°  φ= 320.0°  ψ=  90.0°
              philosophers_stone: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                        omphalos: θ= 140.0°  φ= 290.0°  ψ=  90.0°
                         mitosis: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                         meiosis: θ= 160.0°  φ= 200.0°  ψ=  90.0°
                zfc_fe_imscribed: θ= 160.0°  φ= 360.0°  ψ=  90.0°
           clink_layer8_organism: θ= 180.0°  φ= 360.0°  ψ=  90.0°
                xiv_tier_climber: θ= 160.0°  φ= 220.0°  ψ=  90.0°
                unfolded_protein: θ=  70.0°  φ=  70.0°  ψ= 270.0°
                platonic_protein: θ= 160.0°  φ= 220.0°  ψ=  90.0°
        crystallographic_protein: θ= 100.0°  φ=  60.0°  ψ= 270.0°
                 insulin_a_chain: θ=  20.0°  φ= 240.0°  ψ=  90.0°
                      gfp_folded: θ= 180.0°  φ= 250.0°  ψ= 149.4°
                 lysozyme_folded: θ= 120.0°  φ= 320.0°  ψ= 270.0°
         gender_transition_draft: θ= 100.0°  φ=   0.0°  ψ= 270.0°
                      paraasm_vm: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  ð_ß-þ_ò-ȝ_ƿ-ƿ_ȝ-ꝼ_ß-ꝃ_ò-ᵹ_ÿ-⊙_ÿ-ȹ_ß-ƕ_ò-ß_ÿ-ꞷ_ò: θ=   0.0°  φ=   0.0°  ψ= 270.0°
          disappearing_polymorph: θ=  80.0°  φ= 140.0°  ψ= 270.0°
          polymorph_seed_crystal: θ=   0.0°  φ= 140.0°  ψ= 270.0°
  polymorph_retrieval_by_additive: θ=  80.0°  φ= 260.0°  ψ= 270.0°
                  neutron_baryon: θ=  60.0°  φ= 120.0°  ψ= 270.0°
  subsystem_of_second_order_arithmetic: θ=  60.0°  φ=  80.0°  ψ= 270.0°
                   abelian_group: θ=  40.0°  φ=   0.0°  ψ= 270.0°
            distributive_lattice: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                   domain_theory: θ= 100.0°  φ= 120.0°  ψ=  90.0°
                   dynamic_logic: θ=  60.0°  φ=  80.0°  ψ=  90.0°
            elementary_embedding: θ=  40.0°  φ=  30.0°  ψ=  90.0°
          elementary_equivalence: θ=  40.0°  φ=   0.0°  ψ=  90.0°
         elementary_substructure: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                elementary_topos: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                       embedding: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                       empty_set: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                     epimorphism: θ= 140.0°  φ= 190.0°  ψ=  90.0°
                       equalizer: θ=  40.0°  φ= 120.0°  ψ=  90.0°
                     equivalence: θ=  40.0°  φ=  40.0°  ψ=  90.0°
            equivalence_relation: θ=  40.0°  φ=  80.0°  ψ=  90.0°
              exponential_object: θ= 120.0°  φ= 190.0°  ψ= 270.0°
                     bruce_codex: θ= 140.0°  φ= 300.0°  ψ=  90.0°
         rebis_transition_target: θ= 140.0°  φ= 260.0°  ψ=  90.0°
         standard_feminizing_hrt: θ=  80.0°  φ=   0.0°  ψ= 270.0°
                          synfin: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                  odot_p4ra_core: θ=  60.0°  φ= 240.0°  ψ=  90.0°
            belnap_four_topology: θ=  40.0°  φ= 160.0°  ψ= 149.4°
         kernel_criticality_flip: θ=  60.0°  φ= 280.0°  ψ=  90.0°
          ouroboric_parity_check: θ= 100.0°  φ= 330.0°  ψ=  90.0°
   continuous_serpent_rod_bridge: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                       ch3mpiler: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                          cubane: θ=  60.0°  φ= 250.0°  ψ= 270.0°
                      serpentrod: θ= 100.0°  φ= 360.0°  ψ=  90.0°
                  ouroboric_pill: θ= 100.0°  φ= 360.0°  ψ=  90.0°
                quantum_biologic: θ= 100.0°  φ= 240.0°  ψ=  90.0°
              universal_antidote: θ= 100.0°  φ= 360.0°  ψ=  90.0°
             ouroboric_composite: θ= 100.0°  φ= 360.0°  ψ=  90.0°
    topological_quantum_material: θ= 120.0°  φ= 360.0°  ψ=  90.0°
          eternal_memory_polymer: θ= 100.0°  φ= 360.0°  ψ=  90.0°
             self_weaving_fabric: θ= 100.0°  φ= 360.0°  ψ=  90.0°
                  ouroboric_cell: θ= 100.0°  φ= 360.0°  ψ=  90.0°
      quantum_bioelectric_tissue: θ= 100.0°  φ= 360.0°  ψ=  90.0°
              universal_symbiont: θ= 100.0°  φ= 360.0°  ψ=  90.0°
       topological_morphogenesis: θ= 100.0°  φ= 360.0°  ψ=  90.0°
                           lando: θ=   0.0°  φ= 120.0°  ψ= 270.0°
  synthetic_detox_gland_v2_in_situ: θ= 120.0°  φ= 260.0°  ψ=  90.0°
                  family_of_sets: θ=  40.0°  φ= 120.0°  ψ=  90.0°
                         forcing: θ=  40.0°  φ= 200.0°  ψ=  90.0°
                         forking: θ=  80.0°  φ= 100.0°  ψ=  90.0°
                 formal_language: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                           frame: θ=  20.0°  φ= 190.0°  ψ=  90.0°
                    free_algebra: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                   free_variable: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                        function: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                         functor: θ=  20.0°  φ= 110.0°  ψ=  90.0°
                functor_category: θ=  60.0°  φ=   0.0°  ψ=  90.0°
               galois_connection: θ=   0.0°  φ=  80.0°  ψ=  90.0°
      general_recursive_function: θ=  30.0°  φ=  80.0°  ψ=  90.0°
  generalized_continuum_hypothesis: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                 gödel_numbering: θ=   0.0°  φ= 120.0°  ψ=  90.0°
                         grammar: θ=  20.0°  φ= 110.0°  ψ=  90.0°
              grothendieck_topos: θ=  60.0°  φ=  80.0°  ψ= 270.0°
           grothendieck_topology: θ=  60.0°  φ= 160.0°  ψ= 270.0°
           grothendieck_universe: θ=  90.0°  φ=   0.0°  ψ=  90.0°
                           group: θ=   0.0°  φ=  30.0°  ψ=  90.0°
                        groupoid: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                 halting_problem: θ= 120.0°  φ= 300.0°  ψ=  90.0°
                          hasnot: θ=  40.0°  φ=   0.0°  ψ= 270.0°
            hausdorff_(t₂)_space: θ=  40.0°  φ= 120.0°  ψ=  90.0°
                   kohn_sham_dft: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                 skolem_function: θ=  40.0°  φ= 150.0°  ψ=  90.0°
              skolem_normal_form: θ=  40.0°  φ= 120.0°  ψ= 270.0°
  smullyans_double_recursion_theorem: θ=   0.0°  φ= 180.0°  ψ=  90.0°
               soundness_theorem: θ=  80.0°  φ= 320.0°  ψ=  90.0°
            spectrum_of_a_theory: θ=   0.0°  φ= 120.0°  ψ=  90.0°
                   stable_theory: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                          string: θ=  40.0°  φ=   0.0°  ψ= 270.0°
            strong_normalization: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                       structure: θ=  70.0°  φ=  80.0°  ψ=  90.0°
            subobject_classifier: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                          subset: θ= 120.0°  φ=  80.0°  ψ= 270.0°
                    substructure: θ= 100.0°  φ=   0.0°  ψ= 270.0°
                        sum_type: θ= 100.0°  φ= 120.0°  ψ=  90.0°
              superstable_theory: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                       tautology: θ=   0.0°  φ=   0.0°  ψ= 270.0°
                  temporal_logic: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                            term: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                    term_algebra: θ=   0.0°  φ=  40.0°  ψ=  90.0°
                 terminal_object: θ=  40.0°  φ=  70.0°  ψ=  90.0°
                         theorem: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                          theory: θ=  80.0°  φ=  80.0°  ψ=  90.0°
            topological_manifold: θ=  20.0°  φ= 240.0°  ψ= 270.0°
               topological_space: θ=  40.0°  φ= 160.0°  ψ=  90.0°
                           topos: θ=  20.0°  φ= 120.0°  ψ=  90.0°
                     total_order: θ=  40.0°  φ= 110.0°  ψ= 270.0°
           transfinite_induction: θ=   0.0°  φ= 160.0°  ψ=  90.0°
                  transitive_set: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                      truncation: θ= 100.0°  φ=  70.0°  ψ=  90.0°
                     truth_table: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                   turing_degree: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                  turing_machine: θ=  40.0°  φ= 120.0°  ψ=  90.0°
             turing_reducibility: θ=  60.0°  φ= 150.0°  ψ=  90.0°
                            type: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                 typing_judgment: θ=  40.0°  φ= 110.0°  ψ=  90.0°
                     ultrafilter: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                     unification: θ=  20.0°  φ= 220.0°  ψ=  90.0°
  union,_intersection,_difference,_symmetric_difference: θ=  20.0°  φ= 120.0°  ψ= 270.0°
                 unit_and_counit: θ=  40.0°  φ= 140.0°  ψ=  90.0°
                univalence_axiom: θ=  60.0°  φ=  60.0°  ψ=  90.0°
               universal_algebra: θ=  80.0°  φ= 120.0°  ψ=  90.0°
        upper_bound,_lower_bound: θ= 120.0°  φ=  40.0°  ψ=  90.0°
                      ur_element: θ=  40.0°  φ=  70.0°  ψ=  90.0°
                         variety: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                    vector_space: θ=  20.0°  φ=  40.0°  ψ= 270.0°
            von_neumann_universe: θ=   0.0°  φ= 120.0°  ψ= 270.0°
             well_formed_formula: θ=   0.0°  φ=  80.0°  ψ=  90.0°
           well_founded_relation: θ=   0.0°  φ= 150.0°  ψ= 270.0°
                      well_order: θ=   0.0°  φ= 150.0°  ψ= 270.0°
                yoneda_embedding: θ=  60.0°  φ=  30.0°  ψ=  90.0°
                    yoneda_lemma: θ=  60.0°  φ=  80.0°  ψ=  90.0°
     zermelo–fraenkel_set_theory: θ=  40.0°  φ=  70.0°  ψ= 270.0°
                     zero_object: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                     zorns_lemma: θ=   0.0°  φ= 160.0°  ψ=  90.0°
                  ℵ₀_categorical: θ=  70.0°  φ=   0.0°  ψ=  90.0°
                 ω_stable_theory: θ= 140.0°  φ= 120.0°  ψ=  90.0°
                    _meson_—_qq̄: θ=  20.0°  φ=  60.0°  ψ= 270.0°
             tetraquark_—_qqq̄q̄: θ=  20.0°  φ= 100.0°  ψ=  90.0°
             pentaquark_—_qqqqq̄: θ=  80.0°  φ= 100.0°  ψ=  90.0°
                          baryon: θ=  50.0°  φ=  40.0°  ψ=  90.0°
              prenex_normal_form: θ=  70.0°  φ=  30.0°  ψ=  90.0°
                        preorder: θ=  60.0°  φ=   0.0°  ψ= 270.0°
                        presheaf: θ=  40.0°  φ=  40.0°  ψ=  90.0°
                     prime_ideal: θ=  80.0°  φ= 120.0°  ψ=  90.0°
             primitive_recursion: θ=  40.0°  φ= 180.0°  ψ= 270.0°
    primitive_recursive_function: θ=  30.0°  φ= 160.0°  ψ= 270.0°
                         product: θ=  40.0°  φ= 160.0°  ψ=  90.0°
                    product_type: θ=  20.0°  φ=  70.0°  ψ=  90.0°
                           proof: θ= 100.0°  φ=  80.0°  ψ=  90.0°
         proof_theoretic_ordinal: θ=  40.0°  φ= 200.0°  ψ=  90.0°
                    proper_class: θ=  60.0°  φ= 120.0°  ψ=  90.0°
                     proposition: θ=  20.0°  φ=   0.0°  ψ=  90.0°
          propositional_variable: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                        pullback: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                   pumping_lemma: θ=  40.0°  φ=  80.0°  ψ=  90.0°
              pushdown_automaton: θ=   0.0°  φ= 200.0°  ψ= 270.0°
                         pushout: θ=  60.0°  φ= 190.0°  ψ= 270.0°
                      quantifier: θ=   0.0°  φ=  80.0°  ψ=  90.0°
          quantifier_elimination: θ=  20.0°  φ=  40.0°  ψ= 270.0°
                   quantum_logic: θ=  60.0°  φ=  80.0°  ψ= 270.0°
                   quasicategory: θ= 120.0°  φ=   0.0°  ψ= 270.0°
                      quasigroup: θ= 100.0°  φ=   0.0°  ψ=  90.0°
                quotient_algebra: θ=  60.0°  φ=  40.0°  ψ=  90.0°
                            rank: θ= 100.0°  φ=  80.0°  ψ=  90.0°
      rebis_symplectic_composite: θ= 140.0°  φ= 300.0°  ψ=  90.0°
     rebis_cft_grammar_composite: θ= 160.0°  φ= 300.0°  ψ=  90.0°
                   realized_type: θ= 100.0°  φ= 120.0°  ψ= 270.0°
                       recursion: θ=   0.0°  φ= 160.0°  ψ=  90.0°
                   recursive_set: θ=   0.0°  φ=  80.0°  ψ=  90.0°
  recursively_enumerable_(r.e.)_set: θ=  60.0°  φ= 270.0°  ψ=  90.0°
                       reduction: θ= 120.0°  φ=   0.0°  ψ= 270.0°
              regular_expression: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                regular_language: θ=   0.0°  φ=  30.0°  ψ=  90.0°
                        relation: θ=  40.0°  φ=  30.0°  ψ=  90.0°
                 relevance_logic: θ=  20.0°  φ=   0.0°  ψ=  90.0°
                      resolution: θ=   0.0°  φ= 200.0°  ψ=  90.0°
                      retraction: θ= 100.0°  φ=  70.0°  ψ= 270.0°
             reverse_mathematics: θ= 120.0°  φ=   0.0°  ψ=  90.0°
                   rices_theorem: θ=  80.0°  φ= 120.0°  ψ=  90.0°
                            ring: θ=  30.0°  φ= 120.0°  ψ= 210.6°
                          σ_type: θ= 100.0°  φ= 150.0°  ψ=  90.0°
                  satisfiability: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                 saturated_model: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                scott_continuity: θ=  60.0°  φ=  80.0°  ψ=  90.0°
              second_order_logic: θ=  90.0°  φ= 120.0°  ψ=  90.0°
                         section: θ= 100.0°  φ=  70.0°  ψ=  90.0°
                sequent_calculus: θ=  40.0°  φ= 110.0°  ψ= 270.0°
                       semigroup: θ= 100.0°  φ=  40.0°  ψ=  90.0°
                        sentence: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                          setoid: θ=  90.0°  φ=   0.0°  ψ=  90.0°
                       signature: θ=   0.0°  φ=   0.0°  ψ=  90.0°
                  simplicial_set: θ=  40.0°  φ= 160.0°  ψ= 149.4°
    simply_typed_lambda_calculus: θ=  40.0°  φ= 120.0°  ψ=  90.0°
                       singleton: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                            site: θ=  40.0°  φ=   0.0°  ψ= 270.0°
       imscribing_organism_rebis: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                    opus_nigredo: θ=  20.0°  φ= 110.0°  ψ= 149.4°
                 opus_citrinitas: θ= 140.0°  φ= 220.0°  ψ=  90.0°
        total_order_linear_order: θ=  40.0°  φ= 110.0°  ψ= 270.0°
                     human_being: θ=  20.0°  φ= 140.0°  ψ=  90.0°
            muhammad_rasul_allah: θ= 120.0°  φ= 140.0°  ψ=  90.0°
               buddha_shakyamuni: θ= 160.0°  φ= 300.0°  ψ=  90.0°
               laozi_dao_de_jing: θ= 100.0°  φ= 300.0°  ψ=  90.0°
                     zarathustra: θ=  60.0°  φ= 180.0°  ψ=  90.0°
             elijah_the_tishbite: θ=  60.0°  φ= 140.0°  ψ=  90.0°
                john_the_baptist: θ=  40.0°  φ= 260.0°  ψ=  90.0°
                  krishna_avatar: θ= 180.0°  φ= 360.0°  ψ=  90.0°
                  mary_theotokos: θ=  40.0°  φ= 320.0°  ψ=  90.0°
                           jesus: θ=  40.0°  φ=   0.0°  ψ=  90.0°
                   odot_operator: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                          matter: θ=  20.0°  φ=  40.0°  ψ= 270.0°
               eml_sheffer_probe: θ=  40.0°  φ= 180.0°  ψ=  90.0°
             erdos_straus_proved: θ=  80.0°  φ= 220.0°  ψ= 149.4°
    grammar_precedes_mathematics: θ= 160.0°  φ= 320.0°  ψ=  90.0°
          unified_gravity_theory: θ= 180.0°  φ= 360.0°  ψ=  90.0°
                 primordial_ooze: θ=   0.0°  φ= 120.0°  ψ=  90.0°
             inflationary_vacuum: θ= 100.0°  φ= 190.0°  ψ= 149.4°
                       cmb_epoch: θ= 100.0°  φ= 220.0°  ψ= 270.0°
             late_universe_local: θ= 100.0°  φ= 220.0°  ψ= 270.0°
     big_gdl_frobenius_cosmogeny: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                      slime_mold: θ=  50.0°  φ=  80.0°  ψ=  90.0°
   biological_organism_postnikov: θ= 100.0°  φ= 300.0°  ψ=  90.0°
             free_play_enjoyment: θ= 140.0°  φ= 260.0°  ψ=  90.0°
                 zosimos_portico: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                    void_b_state: θ= 180.0°  φ= 360.0°  ψ=  90.0°
        bruce_untitled_beginning: θ= 140.0°  φ= 320.0°  ψ=  90.0°
         bruce_untitled_main_end: θ= 140.0°  φ= 110.0°  ψ= 149.4°
           bruce_unplaced_leaves: θ= 140.0°  φ= 180.0°  ψ= 149.4°
             bruce_book1_opening: θ= 100.0°  φ=  40.0°  ψ= 270.0°
              bruce_jeu_diagrams: θ= 140.0°  φ= 300.0°  ψ=  90.0°
             bruce_baptism_seals: θ= 140.0°  φ= 320.0°  ψ=  90.0°
        bruce_aeon_defence_seals: θ= 140.0°  φ= 320.0°  ψ=  90.0°
            three_steles_of_seth: θ= 140.0°  φ= 260.0°  ψ=  90.0°
           trimorphic_protennoia: θ= 140.0°  φ= 300.0°  ψ=  90.0°
                 gospel_of_truth: θ= 140.0°  φ= 260.0°  ψ= 149.4°
              apocryphon_of_john: θ= 140.0°  φ= 140.0°  ψ= 149.4°
                gospel_of_thomas: θ= 100.0°  φ=  60.0°  ψ= 149.4°
                   pistis_sophia: θ= 160.0°  φ= 260.0°  ψ= 149.4°
                      zostrianos: θ= 140.0°  φ= 300.0°  ψ= 149.4°
                       allogenes: θ= 140.0°  φ= 300.0°  ψ= 149.4°
                        marsanes: θ= 140.0°  φ= 300.0°  ψ= 149.4°
