0x5b8fd0	⊢⊞⊞⋈⋈⋈⊞⋈⋈⊞⊞⊞⊙
0x7c09a0	⊢⋈⊞⊤⊥⋈⋈⋈≺⋈⋈⋈⋈⋈⊞⋈⊤∈⊞⋈⊤∈≺⋈⋈⊤∈⊤∈∋⊤∈⊤∈⋈⋈⋈⋈≻⊤∈⊞⋈≻⊤∈∋⋈⋈≺⊞∋⋈⊞⋈⋈⋈⋈≺⊞⋈⊞⋈⊞⋈⊞⋈⋈⋈⊞⊞≻⊞⋈⋈⋈⋈⊣⋈⋈⋈⋈⋈⋈⋈⊞⊤∈⋈⋈⋈⋈⋈⊞⊞⊞∋⋈⋈≻⋈⊤∈⋈⊤∈⋈⊙⋈⊤∈⋈⋈⊙⊤∈≺⋈⋈⊞⊞⋈⋈⋈⋈⋈⋈≺⊞≺⋈≻⋈∋⋈⊞⋈⋈⋈⋈⋈⋈⊣
0x79ab90	⊢⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⊤∈⋈⊤∈⊞≺∋⋈⋈⋈⋈⊞⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊤∈⋈⊙∋⊞⊤⊥⊞≻⊤∈⊤∈⋈⋈⊤∈⋈⊙⋈∋⋈⋈⋈⊞⊞⊞⋈⊞≻⋈⋈⋈⊡∋⋈⊡⋈⋈⊞∋⊞⋈⋈⋈⋈⋈⋈⊣
0x7c0820	⊢⊤∈∋⊞∋⊣⋈⋈⊞⊞⋈⊤∈⋈⊞⊞⊞∋⊤∈⋈⊤⊞∈⋈⊞⊞⊞∈≺∋⋈⊤∈∋⋈⊞⊞∈⊞⊞⊞⊤∈⋈⊞∋⋈⊤∈⊞⊞⊤∈≺∋⋈⊣
0x5f3456	⊢⊤∈∋⊞⊣⋈⋈⊞⊞⋈⊞⊤∈⊞∋⊤∈⋈⊤⊞∈≺⊞⊞⋈∋⊤∈⋈⊤∈⊞⊞≺⋈⊤∈∋⋈⊞⊞∈≺∋⋈⊣
0x7c1740	⊢⋈⋈⊙
0x7c1760	⊢⋈⋈⊙
0x7bf850	⊢⋈⊤∈⊞⋈⋈⊤∈⋈⊞⊞⋈⋈⊞⊤∈⊞⋈⋈⊞⊞⊞⊤∈⊞⋈⋈⊞⊞⊞⊞⊞⊞≺⊞⋈⋈⊣⊞⊞⋈≺⊞⊞⋈∋⋈⋈⊣
0x5f34d3	⊢⋈⋈⊞⋈⊡∈⊤∈⋈⋈⋈⊤∈⊤∈∋⊞≻⋈⋈≻≻∋⋈∋≻⊞⋈⋈⋈⊤∈⋈⊡⊞∈≺⋈⊤∈⊤∈⊡⋈⊞∋⊤⋈⊥⋈⊙∋⊞⊞⊡⊙⋈⋈⊙⊞⊡⊡⊡⊡⊡⊡⋈≻⊞⊞⊞⊞⊞⊡⊡⊡⊡≻⋈⊤∈⋈⋈≻∋⋈⋈⋈⊡∈≻∋⋈⊡∈⋈≻∋⊞⋈⋈⊣
0x7697a3	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x769846	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x7699bb	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x769c2f	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x769cea	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x769f22	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x769fdd	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76a273	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76a316	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76a608	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x76a6c3	⊢⋈⋈⋈⋈⊤∈⊞⋈≻⋈⋈⊣⊞≻
0x76a77e	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76aa66	⊢⋈⋈⋈⋈⊤∈⊞≻⋈⋈⊣⊞≻
0x76ab17	⊢⋈⋈⋈⋈⊤∈⊞≻⋈⋈⊣⊞≻
0x76abc8	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76ad3d	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76aeb2	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76b027	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76b19c	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76b311	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76b4cd	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76b642	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76b7fe	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76b973	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76bae8	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76bca4	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76be19	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76bf8e	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76c103	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76c399	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76c555	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76c5f8	⊢⋈⋈⋈⋈⊤∈≻⋈⋈⊣⊞≻
0x76c7b4	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76c929	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x76ca9e	⊢⋈⋈⊞⋈⋈⋈⊤∈⊞⋈⋈⋈⊤∈∋⋈⊞⋈≻⋈⊤∈⋈⋈⊞⋈⋈⊣⊞≻∋≻≺⊞⋈⋈⋈⋈≻
0x7c7510	⊢⋈⋈⋈⋈⋈⋈⋈⊤∈⋈⊙⊤∈⊡⋈⋈⋈⋈⋈⊞⋈⋈⊣⊞≻∋⋈⋈≻
0x7c6550	⊢⋈⋈⋈⋈⊤∈⋈⋈⋈⋈⊣⋈⋈⊞≻
0x5f369d	⊢⋈⋈⋈⊤∈⋈⋈⋈⊣⋈⊞≻⋈⋈⋈⋈⋈⋈⊞⊞⋈≻⋈⊞⊤⋈⊥⋈⊞⋈⊥⊞⋈⋈⋈⊞⊤⊥⊞⋈⊥⊞⊞⋈⋈⋈⊤⋈⊥⋈⊞⊥⊞⋈⋈⋈⊞⊤⊥⋈⊥⊞⊞⋈⋈⊞⋈⊞⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⊤⋈⊥⊞⋈⋈⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈⋈⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊤⋈⋈⊥⊞⋈⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈⋈⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊞≻⋈⊤⋈⋈⊥⋈⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈⋈⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊞⋈≻⋈⊤⋈⋈⊥⊞⋈⋈⊥⊞⋈⋈⋈⊞⊤⊥⋈⊥⊞⊞⋈⋈⋈⊤⋈⊥⊥⋈⋈⋈⊞⊤⊥⊥⊞⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⊞≻⋈⋈≻⊞⋈⋈⋈⋈⋈⋈⊣
0x7c7190	⊢⋈⋈⋈⋈⋈⋈⋈⊤∈⋈⊙⊤∈⊡⋈⋈⋈⋈⋈⊞⋈⋈⊣⊞≻∋⋈⋈≻
0x769147	⊢⋈⋈⋈⋈≻⋈⊣
0x7684b2	⊢⋈⋈⋈⋈≻⋈⊣
0x7c5f30	⊢⋈⋈⊞⋈⋈⊞≻⊞⋈⊣
0x7c0900	⊢⋈⋈⋈⋈⋈⊞⋈⋈⋈⊞⋈⋈⋈⋈⊞⋈⊞⊥⋈≻⊞⊤∈⋈⋈⊙⋈⊡∋⊞⋈⋈⋈⋈⊣
0x79ab80	⊢≺
0x7c1730	⊢⋈⋈⊙
0x7c1750	⊢⋈⋈⊙
0x7903ce	⊢⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⊞⊞⋈⋈≻⊤∈⋈⋈⋈⋈⊞⋈⋈⊤∈⋈⋈⊞⊤∈⋈⋈⋈⋈⋈⊞⋈∋⋈∈⊤⋈⊥⊞⋈∋⊤∈⋈⊞⊤∈⊞⋈⊤∈⊞⊞⊞≺⊞∋⊞∋⋈⊞⊤∈≺⋈∋⊤∈⊞⊤∈⊞⊤∈⋈⊤∈⊞⋈≺⊞⊞∋⋈⋈≻⋈⊤∈⊤∈⋈≺⋈≺⋈⋈⊞⊤∈⋈⋈⋈⋈⊞∋⋈∈⊞⋈∋⊤∈⋈⊞⊤∈⊞⋈⊤∈⊞⊞⊞≺⊞≺⋈∋⊞∈⊤∈⊞⊤∈⋈⊤∈⊞∋⊞⊤∈∋⋈≺∋⋈∋⋈⊞∈⊤∈⊤∈∋⊞≺∈∋⊞⊞∋⊤∈⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⋈⊞⊞⊞⊞⊞⊞⊤∈⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⊞⊤⊥⊞⊤⊥⊤∈≺∋⊤∈⊤∈⊤∈⋈≺⋈≺∈∋⊤∈⋈⊤∈⊤∈⋈⋈⋈≺⋈⊞⋈⊞⊞∈⊤∈⋈⊤∈⊤∈⋈≺⋈⋈⊤∈⋈≺⊤∈⋈⋈≺⊤∈∋⋈∋⊞⊞⊞⊞∋⊤∈⊤⊞∈≺⊤∈⋈⊤∈⊞∋⋈≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⊞⋈⊞⊞⊞⊞⊞⊞≺⋈⋈⊤∈⊤∈⊞⋈≺⊞⊞⊞≺⋈≺⊞⊞⊞⋈∋⊤∈⊤∈∋⊤∈∋⊤∈⊤∈⋈⊤∈⋈⊞⋈⊞⊞∈⋈⊤∈⊞⋈≺∋⋈⊤⋈∈∋⋈⊤∈⊞⋈≺⋈⊤∈⊞⋈∋⊞⋈⊤∈⊞⊞∋⊤∈⊤⊞∈≺⊞⋈⋈⊞⋈⋈⋈⋈⊞≻⊤∈⋈⊤∈⋈⋈⊞⋈⊞⊞⋈⊞⋈⊞⊞⊤∈⋈⊞⊤∈⊞⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞≻⊤∈⋈⊤∈⋈⋈∋⊤∈⊤∈⊤∈∋⊞⋈≻∋⊞∋⊞≺⊞⋈∋⊞⊤∈⊞∋⊞⊤∈⊞⋈⋈⊥⊞⊥⊤∈⊤∈⊤∈⋈⊤∈⊞∋⋈≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⋈⊞⊞⊞⊞⊞⊞⊞≺⊞⊞⊞≺⊞⊞⊞⋈∋⊤∈≺⊤∈∋⊤∈⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⋈⊞⊞⊞⊞⊞⊞⊤∈⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⊞∈∋⊞⊤∈≺∈∋⊞⊞⊞∋⊤∈⋈⊤∈⊞⋈⋈∋⊤∈⊞⋈≺⋈⊞⋈⋈⊞⊤∈⋈⊞⊞⊞⊤∈⋈⊞⊞⊞⊞⊞⊞⊤∈⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⋈⊞⊞⊤⊥⊞⊤⊥⊞⊤⊥⊞⊞∈⊞⊤∈⋈∈∋⊤∈⋈≺∋⊞⊤∈≺⊞∋⋈⋈⋈⋈⋈⋈⋈⋈⋈∋⋈⋈⊞⋈⋈⋈⋈⋈⋈⊣∋⊞⊞⊞⊞⋈≻∋⊞⊤⊥⊞⋈≻∋⊞⋈≻∋⊞⋈≻∋⊞⊤⊥⊞⋈≻∋⊞⋈≺∋⊞⋈⋈⊞≻∋⊞⋈∋⋈⋈⋈≻∋⊞⋈≺⊞⋈∋⋈⋈⋈≻∋⊞⋈≺
0x773357	⊢⋈⋈⊞⋈⊞⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞∋⋈⋈≻⊤∈⋈⊞⊤∈⊞⋈⋈⊣⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⊞⋈⋈⊤∈⋈⋈⊞⊞∋⋈⊤⊥⊤⊥⊞⋈⊞⊞⊤∈⊞⊞∋⋈⊤⊥⊤⊥⊞⋈⊞⊞⊤∈⊞∈⋈⋈⊞⋈⋈⋈≻⋈⋈⋈⋈⋈⋈⋈⊤∈⊞∋⋈⋈⋈⋈≻⊞⊞∈∋⋈⋈⊞⋈⋈⋈⋈≻⊞⋈⋈⋈⊞⋈⋈⋈⋈≻⋈⋈⋈⋈⋈⋈⋈⋈∋⋈⊤∈⊤∈∋⊞⊞≻⋈⊙⊤∈⊡⋈⋈⋈⋈⊤∈⋈⋈⋈⋈⋈⋈∋⋈⊞⋈⋈⊤∈⊞⋈⊤∈⋈⊞⊞⋈⋈⋈∋⋈⊤∈⊤∈⋈⊤∈⊞⋈⊞⋈⊤∈⋈⋈≻⋈⋈⋈∋⋈⋈⋈⊞⋈⊤∈⊞≻⋈⋈∋⋈⊞⋈⋈⋈∋⊞⊤∈∋⊤⋈⋈∈⋈⋈⋈⋈≻⋈⋈⋈⋈≻⋈⋈⋈∋⊞⊤∈⋈⋈⊡⊤∈⋈⊞∋⋈⋈⋈⋈≻⊞⊞∈∋⋈⋈⋈⋈⋈⋈≻⊞⋈⋈⋈⊞⊞⋈⋈∋⊤∈⋈⊞⋈⊤∈⊤∈∋⋈⊙⊤∈⊡⋈⊞⋈⋈⋈⋈⋈⋈⋈∋⊤∈⋈⊞⋈⊤∈⊤∈∋⊤⋈∈∋⋈⋈⊞⋈≺⋈⋈⋈⋈⋈≻⋈⋈⋈≺∋≺⋈⋈≺⋈∋⊞⊞⋈⋈⋈⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⋈⊡⋈⊞∋⋈⊤∈⊤∈∋⋈⋈∋⊤∈⊞⊞⊤⋈∈⋈⋈⊙⊤∈⊡⋈⋈⋈⋈⋈⋈∋⋈∋⊤∈⊞⊤⋈∈⋈⊤∈∋⋈⊞⋈≺⋈⋈⋈⊞⋈≻⋈⋈≺⊞⋈⋈⋈⊞≺⋈⋈⊡∋⊤⋈⊥⋈⋈⋈⋈⋈⊞⋈⊞⋈⊞⋈⊞⊞≻⊤∈⋈⋈⊙⊤∈⋈⊡⋈⋈⋈⋈⋈⋈⊡⊡⋈∋⊞⊞≻⊤∈⋈⊤∈∋⋈⊞⋈≺⋈⋈⋈⊞⋈≻⋈≺⋈⊞≺⋈⋈⊞⋈⋈⋈∋⋈⊞⋈∋⋈⊤∈∋⊞⊤∈≺⊤∈⊞⋈⋈⋈⊞⊞⊞∋⊤∈⊞⊞∋⊤⊥⊞⊞⊤∈⊞⊞⊤∈≺⊞⊞∋⊤∈⊤⊞∈∋⊤∈≺⋈⊤∈⊞≻⋈⋈⋈∋⋈⊞⋈⋈⋈⊞⋈⋈∋⋈∋⋈⋈⋈≻⋈⋈⋈⋈≻⋈⋈∋⊞⊤∈⊞⊞∋⋈⊤⊥⊤⊥⊞⋈⊞⊞⊤∈⊞⊞∋⋈⊤⊥⊤⊥⊞⋈⊞⊞⊤∈⋈⊞⋈⊞⊥⋈⊤⊥⊞∈⊞∋⋈∋⋈≻∋⋈⊤∈⋈⋈⋈≻⋈⋈⋈⊤∈≺⋈⊞∋⊤∈⊞⋈∋⋈⋈⊞⊞⊤∈⊤∈∋⊞⊞⋈⋈⋈⋈⊞≻≺⊤∈∋⊞⋈⋈⋈⋈⋈≻∋⊤∈⋈⋈≻⋈⋈⋈⊤∈⋈≺⊞⋈⋈∋⊤∈⊞⊞∋⋈⋈⊞⊞⊤∈⊤∈∋⊞⊞⋈⋈⋈⋈⊞⋈≻⋈≺⊤∈∋⊞⋈⋈⋈⋈⋈⋈≻∋⊞⊞⊥⊞⊞⊞⊥⊞⋈⋈⋈⋈⊞≻⋈≻⋈⋈⋈⋈≻⋈⋈⊤∈⊞∋⋈⋈⋈⋈≻⊞⊞∈⋈∋⋈⋈⋈⋈≻⊤∈⋈⋈⊞⋈⊞⊞⊞⋈⋈⋈∋⊤⋈∈⊞⋈⋈⋈⋈⋈⋈⊞⋈≻⋈⋈⊡⋈⋈⊡⋈⊞⋈⊞⋈⊞⋈⊞⋈⋈⋈≻⊞⋈⋈⋈⊞≻⋈⊞⋈⊞⋈⋈⋈⋈⊞⊞∋⊤∈⋈⊞⋈⋈⋈≻⊤∈⋈⊙⊤∈⋈⊡⋈⋈⋈⋈⊡⊡⊡⋈⋈⋈∋⊤∈⋈⊞⋈⊞⋈≻⊤∈⊤∈∋⋈⊞⋈≺⋈⋈⋈⊞⋈≻⋈≺⋈⋈⊞≺⋈⋈∋⋈⋈⋈⋈≻⋈⋈⋈⋈≻⋈⋈⊤⋈∈⊞∋⋈⋈⋈⋈≻⊞⊞∈⋈∋⋈⋈⋈⋈≻⋈⋈⊤∈⊞∋⋈⋈⋈⋈≻⊞⊞∈⋈∋⋈⋈⋈⋈≻⊞⊞⋈⋈⋈∋⊤∈⋈⊤∈⋈⊞⊤∈∈≺⋈⋈⋈⋈≻⋈⋈⋈⊞⊞≺⋈≺⋈⋈⋈⋈≻⊞⋈∋⋈⋈⋈⋈≻∋⋈⋈⊞⋈⋈⋈⋈⋈⋈⊣⊞∋⋈≻∋⋈≺⊞⋈⋈≻∋⊞⋈≻∋⊞≻∋⋈⊤∈⋈⊞⊞⋈⋈∋⋈⋈⊤∈⋈∋⋈⊤∈⋈⊞⊤∈⊞≺⋈∋⋈⋈∋⊞⊞⊤∈≺⊤∈⋈⊞⊞⋈∋⋈⋈⊤∈⋈∋⋈⊤∈⋈⊞⊤∈⊞≺⋈∋⋈⋈∋⊞⊞⊤∈≺∋⋈⋈≻∋⋈⋈≻∋⊞≺⊞≻∋⋈⋈⋈≻⋈⋈≺⋈⋈⋈≻⋈≺
0x768aaf	⊢⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞⊞⋈⋈⋈⊞⊞⋈⋈⊞⊞⋈⋈⊞⊞⋈⊞⋈⋈⋈⊞⋈⋈⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞≻⊞⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞⊞⋈≻⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈⋈≻⋈⋈⋈⋈⋈⋈⊞⊞⊞⋈≻⋈⋈⋈⋈⋈⋈⊞⊞⊞≻⊞⋈⊞⋈⊡⊞⋈⋈⊞⋈⋈⊡⊞⋈⊞⋈⊞⋈⊞⋈⊡⊞⋈⊞⋈⊞⊡⋈⊞⋈⊞⋈⊞⋈⊞⋈⋈⊡⋈⊙⊤∈⋈⊡⊞⋈⋈⊙⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⋈⋈⊣⋈⋈≻
0x5f3a78	⊢⋈≻⋈⋈⋈⋈⋈⋈⊞⋈⊞⋈⊞⋈⊞⋈⊞⊤⋈⊥⊞⋈⊥⋈⊞⋈⋈⋈⊞⊤⊥⊞⋈⊥⊞⊞⋈⋈⊞⋈⊞⋈⋈⋈⊞⊞⊞⋈≻⋈⊞⋈⋈⊤⋈⊥⊞⊥⋈⋈⋈⊞⊤⊥⋈⊥⊞⋈⋈⊞⋈⋈⊞⋈⋈⋈⋈⊞⋈⋈⋈⊞⊞⊞⊞≻⊞≻⊞⊞⋈≻⊞⋈⋈⋈⋈≻⋈⊤⋈⊥⊞⋈⋈⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈≻⋈⊞⋈⋈⊞⋈⋈⋈⋈⊞⋈⊞⊞⊞⊞⋈≻⋈⊤⋈⊥⋈⋈⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈⋈⊞⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊤⋈⊥⋈⋈⊥⋈⋈⋈⊞⊤⋈⊥⋈⊥⊞⋈⋈⋈⊞⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊤⋈⊥⋈⊥⊞⋈⋈⋈⊞⊤⊥⊞⋈⊥⊞⊞⋈⋈⋈⊤⋈⊥⊞⊥⋈⋈⋈⊞⊤⋈⊥⊥⊞⋈⋈⋈⊞⋈⋈⋈⋈⋈⋈⋈⊞⊞⊞⊞⋈≻⋈⊤⋈⊥⊞⊥⊞⋈⋈⋈⊞⊤⊞⊥⊥⊞⋈⋈⊞⋈≻⊞≻⊞⊞≻⊞⋈⊞⋈⋈⋈⋈⊞⋈⋈⋈⋈⋈⊞⊞⊞⋈⊞⋈⋈≻⋈⊤⋈⊥⊞⋈⊥⋈⋈⋈⊞⊤⊥⊞⋈⊥⊞⊞⋈⋈⊞⋈⊞⋈⊞⋈⋈⊞⋈⊞⋈⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⊞⋈⋈⋈≻⋈⊤⋈⊥⊞⋈⊥⋈⋈⊞⋈⊞⊤⋈⊥⊥⊞⊞⋈⋈⊞⋈⋈⊞⋈⋈⊞⊞⋈⋈≻⊞⋈≻⋈⋈⋈⋈⋈≻⋈⊤∈⋈⊞⊤⋈⊥⊞⋈⊥⋈⋈⋈⊞⊤⊥⊥⊞⋈⋈⊞⊞⋈⋈⊞⋈⋈⊞⊞≺⋈⊞⊤⋈⊥⊞⋈⊥⋈⋈⋈⊞⊤⊥⊥⊞⋈⋈⊞⊞⋈⋈⊞⋈⋈⊞⋈⊞⋈⊞⋈⊞⋈⊞⊞∋⊞≻≻⋈⋈≻⊞⋈⋈⊞⊞⋈⋈⋈⋈⊞⊞⋈⋈≻≻⋈⋈≻⋈⋈≻⋈⋈⋈⋈⋈⊞⋈⊞⋈⊞⊞⋈≻⋈≻⊞⋈⋈≻⋈≻≻⋈⋈≻⋈⋈⋈⋈⊞⋈⋈⊞⋈⊞⋈⊞⊞⋈⋈≻≻⋈⋈≻⋈⋈≻⊞⊞⋈⋈⊞⋈⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⊞⋈⋈⊞⋈⋈⊞⊞⋈≻⊞⋈⋈≻≻⋈⋈⊞≻⊞⋈⋈≻≻⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈≻⋈⊤∈⊤⊥⋈⋈⋈⊙⋈⊙⊡∋⋈⊞⋈⋈⋈⋈⊣
0x79a630	⊢⋈⋈≻
0x7c1d40	⊢⋈⋈≻
0x7c1d50	⊢⋈⋈⊞⋈⊞≻
0x78fec0	⊢⋈⋈≻
0x78fed0	⊢⋈⋈⊞⊞⋈≻
0x7c1d70	⊢⋈⋈⋈⋈⋈≻
