abandon	⊢⊢⊢⊢◻∋∋∈∈⊣⊥⊤  
laundry	⊢⊢⊢⊞⊞⊤∋⊣≺⊥≻⊣  
lava	⊢⊢⊢⊢⊢⊢⊢◻⊤⊤⊤⋈  
law	⊢⊢⊢⊢⊢⊢⊢⊢⊤⊣⊣≻  
lawn	⊢⊢⊢⊢⊢⊢⊢◻⊤⊤⊙⊙  
lawsuit	⊢⊢⊢⊞⊞⊤◻⊥⊞⊞⊢◻  
layer	⊢⊢⊢⊢⊢≻⊣⊥⋈∋⊢⊥  
lazy	⊢⊢⊢⊢⊢⊢⊢◻⊤∈⋈⋈  
leader	⊢⊢⊢⊢⋈⊞∈⊥⊢⊣⊢⊥  
leaf	⊢⊢⊢⊢⊢⊢⊢◻∈⊥⊥∈  
learn	⊢⊢⊢⊢⊢≻≻⊢⋈≻⊙⊙  
leave	⊢⊢⊢⊢⊢≻≻⊢⋈≺⋈◻  
lecture	⊢⊢⊢⊞◻⊥∋⊞≻⊤⊞≻  
left	⊢⊢⊢⊢⊢⊢⊢◻∈⊞⊥◻  
leg	⊢⊢⊢⊢⊢⊢⊢⊢⊤⊣⊙⊞  
legal	⊢⊢⊢⊢⊢≻≻⊢∈⊤⊞⊥  
legend	⊢⊢⊢⊢⋈⊞∋≻⊙◻⊞⊣  
leisure	⊢⊢⊢⊞◻⊞⊙∋⊢⋈∈⊤  
lemon	⊢⊢⊢⊢⊢≻≻⊢⊥≻⊞◻  
lend	⊢⊢⊢⊢⊢⊢⊢◻∋⊢≻∋  
length	⊢⊢⊢⊢⋈⊞∋⊥⊤∋◻≻  
lens	⊢⊢⊢⊢⊢⊢⊢◻∋⊢≺⊞  
leopard	⊢⊢⊢⊞◻◻⊥⊣≺⊢∋⊣  
lesson	⊢⊢⊢⊢⋈⊞⊙≻∋∋≻⊙  
letter	⊢⊢⊢⊢⋈⊞⊙≺∋≺⊣∈  
level	⊢⊢⊢⊢⊢≻≻⊣⊢⊞∋⊢  
liar	⊢⊢⊢⊢⊢⊢⊢◻⊙∈⊣∈  
liberty	⊢⊢⊢◻⊣⋈∋≻⊣◻⊢∋  
library	⊢⊢⊢◻⊣⋈⊙⊣⊞⊥∈∋  
license	⊢⊢⊢◻⊣⋈⊥≺∋⊥⊢⊤  
life	⊢⊢⊢⊢⊢⊢⊢◻⊙∈◻⊙  
lift	⊢⊢⊢⊢⊢⊢⊢◻⊙∋⊢◻  
light	⊢⊢⊢⊢⊢≻≻⋈⋈≻⊢≻  
like	⊢⊢⊢⊢⊢⊢⊢◻⊙∋⊞◻  
limb	⊢⊢⊢⊢⊢⊢⊢◻⊙⊙≺≻  
limit	⊢⊢⊢⊢⊢≻≻⋈∈⊙∈◻  
link	⊢⊢⊢⊢⊢⊢⊢◻⊙⊙∈≻  
lion	⊢⊢⊢⊢⊢⊢⊢◻⊙⊙⊙⊙  
liquid	⊢⊢⊢⊢⋈◻⋈∋≺⊥⊢⋈  
list	⊢⊢⊢⊢⊢⊢⊢◻⊙⊥∈≻  
little	⊢⊢⊢⊢⋈◻⋈⊞⊣∈∋≻  
live	⊢⊢⊢⊢⊢⊢⊢◻⊙⊥◻⊙  
lizard	⊢⊢⊢⊢⋈◻⊤≺⊣◻∋⊞  
load	⊢⊢⊢⊢⊢⊢⊢◻◻⊢⋈⊞  
loan	⊢⊢⊢⊢⊢⊢⊢◻◻⊢⊤⊙  
lobster	⊢⊢⊢◻≺⊥∈≺⋈∋⊢⊥  
local	⊢⊢⊢⊢⊢≻≻⊥⊞⊙∈≺  
lock	⊢⊢⊢⊢⊢⊢⊢◻◻⊢⊥◻  
logic	⊢⊢⊢⊢⊢≻≻⊞⊢∈≻∈  
lonely	⊢⊢⊢⊢⊤⊢⊤⊣⊙≻⊢∋  
long	⊢⊢⊢⊢⊢⊢⊢◻◻≻⊞⋈  
loop	⊢⊢⊢⊢⊢⊢⊢◻◻≺⊣⋈  
lottery	⊢⊢⊢◻⋈⊢⊙⊥⊣⊙⊤⊣  
loud	⊢⊢⊢⊢⊢⊢⊢◻◻⋈⊣⊞  
lounge	⊢⊢⊢⊢⊤⊢⊤⊙∋∋⋈≻  
love	⊢⊢⊢⊢⊢⊢⊢◻◻⋈⋈≻  
loyal	⊢⊢⊢⊢⊢≻≻⊞∋◻⊞⊥  
lucky	⊢⊢⊢⊢⊢≻≺≺∋≻∋⋈  
luggage	⊢⊢⊢◻∈≺⊣◻⋈≻⊞≻  
lumber	⊢⊢⊢⊢⊤⊣⊤⊞⋈⊙≻≺  
lunar	⊢⊢⊢⊢⊢≻≺≺◻⊙⋈∈  
lunch	⊢⊢⊢⊢⊢≻≺≺◻⊙⊙≻  
luxury	⊢⊢⊢⊢⊤⊣∈⊥∈≻⊤⊣  
lyrics	⊢⊢⊢⊢⊤≻≻⊥⊞⊙◻⋈  
machine	⊢⊢⊢◻⊥⊢⊣⊣◻≺⋈◻  
mad	⊢⊢⊢⊢⊢⊢⊢⊢⊤∈⊢⋈  
magic	⊢⊢⊢⊢⊢≻≺⊞⋈∋⊣⊥  
magnet	⊢⊢⊢⊢⊤≻⊙⋈∈≻⊥≻  
maid	⊢⊢⊢⊢⊢⊢⊣⊢⋈∋⊙∋  
mail	⊢⊢⊢⊢⊢⊢⊣⊢⋈∋⊥≺  
main	⊢⊢⊢⊢⊢⊢⊣⊢⋈∋⊥⊤  
major	⊢⊢⊢⊢⊢≻≺⊞⊤◻∈⊥  
make	⊢⊢⊢⊢⊢⊢⊣⊢⋈⊙⊣≻  
mammal	⊢⊢⊢⊢⊤≻⊙⊞≻⊣⊢≺  
man	⊢⊢⊢⊢⊢⊢⊢⊢⊤∈⊣≻  
manage	⊢⊢⊢⊢⊤≻⊙⊞⊙∈⊢⊤  
mandate	⊢⊢⊢◻⊥≻⊢≺⊥⊤⊤⊙  
mango	⊢⊢⊢⊢⊢≻≺⊞∋∈≺∈  
mansion	⊢⊢⊢◻⊥≻⊣∈≺∋⋈◻  
manual	⊢⊢⊢⊢⊤≻⊙◻⋈⊞≻∈  
maple	⊢⊢⊢⊢⊢≻≺⊞⊙⊤≺⊤  
marble	⊢⊢⊢⊢⊤≻⊥≻∈∈⊥⊤  
march	⊢⊢⊢⊢⊢≻≺⊞⊥⊣⊙◻  
margin	⊢⊢⊢⊢⊤≻⊥≻⊙∋∋≻  
marine	⊢⊢⊢⊢⊤≻⊥≻⊥∈∋≻  
market	⊢⊢⊢⊢⊤≻⊥≻⊞≺⊣⊙  
marriage	⊢≻≻⊤⊥⋈⊤∋◻≻⊣≻  
mask	⊢⊢⊢⊢⊢⊢⊣⊢⋈⊥∋⊙  
mass	⊢⊢⊢⊢⊢⊢⊣⊢⋈⊥⊙⋈  
master	⊢⊢⊢⊢⊤≻⊥⋈⊣⊤⋈∈  
match	⊢⊢⊢⊢⊢≻≺⊞⊥◻⊞⊤  
material	⊢≻≻⊤⊥◻⊥◻∈⋈⊥≺  
math	⊢⊢⊢⊢⊢⊢⊣⊢⋈⊥⊥⊙  
matrix	⊢⊢⊢⊢⊤≻⊥⊤⊢⊢⊙⊥  
matter	⊢⊢⊢⊢⊤≻⊥⊤⊢⊞⊢⊥  
maximum	⊢⊢⊢◻⊥≺⊞⊣≻◻∈⋈  
maze	⊢⊢⊢⊢⊢⊢⊣⊢⋈⊞⊞◻  
meadow	⊢⊢⊢⊢⊤≺⋈⊤⊢⊢⊣◻  
mean	⊢⊢⊢⊢⊢⊢⊣⊢∈≻∈⊤  
measure	⊢⊢⊢◻⊞∋⊢⊤⊤⊙⊣≻  
meat	⊢⊢⊢⊢⊢⊢⊣⊢∈≻∈◻  
mechanic	⊢≻≻⊙⊞⊤∈∈⊙≺∋⊢  
medal	⊢⊢⊢⊢⊢≻⋈≻⊢⊥≺≺  
media	⊢⊢⊢⊢⊢≻⋈≻⊢⊞⊙⋈  
melody	⊢⊢⊢⊢⊤≺⊤≺⊥⊥⋈⋈  
melt	⊢⊢⊢⊢⊢⊢⊣⊢∈⋈∋⊙  
member	⊢⊢⊢⊢⊤≺⊤⋈≺⊙⋈∈  
memory	⊢⊢⊢⊢⊤≺⊤⋈⊥⋈⊙⊣  
mention	⊢⊢⊢◻⊞⊥⋈≺≻⊢⊞≻  
menu	⊢⊢⊢⊢⊢⊢⊣⊢∈⊤⊢≺  
mercy	⊢⊢⊢⊢⊢≻⋈≻∈⊙∋⋈  
merge	⊢⊢⊢⊢⊢≻⋈≻∈⊥≻⊙  
merit	⊢⊢⊢⊢⊢≻⋈≻∈⊥⊙⊤  
merry	⊢⊢⊢⊢⊢≻⋈≻∈◻⊤⊣  
mesh	⊢⊢⊢⊢⊢⊢⊣⊢∈⊤⊞⊤  
message	⊢⊢⊢◻⊞⊞≻⊞⊢⊞⊞◻  
metal	⊢⊢⊢⊢⊢≻⋈≻∋∈≺≺  
method	⊢⊢⊢⊢⊤≺⊤◻≻⊣⋈⊣  
middle	⊢⊢⊢⊢⊤⋈⊣≻⋈≺⊥⊤  
midnight	⊢≻≺⊢∈≻⊤⊤⊙≻⋈⊙  
milk	⊢⊢⊢⊢⊢⊢⊣⊢⊙⊢⊥◻  
million	⊢⊢⊣⊢⊢⋈≻⊢≻⊞◻⊙  
mimic	⊢⊢⊢⊢⊢≻⋈∈≻≺⊢≺  
mind	⊢⊢⊢⊢⊢⊢⊣⊢⊙⊣⊣⊞  
minimum	⊢⊢⊣⊢⊢⋈∈⊢⊥∋⋈⊞  
minor	⊢⊢⊢⊢⊢≻⋈∈≻⊥≺⊥  
minute	⊢⊢⊢⊢⊤⋈≻⊢⊤∈≻⊙  
miracle	⊢⊢⊣⊢⊢⊤⊣◻⋈≺⊥⊤  
mirror	⊢⊢⊢⊢⊤⋈≻⋈⊣⊙◻≺  
misery	⊢⊢⊢⊢⊤⋈≻⋈∋⊙⊤⊣  
miss	⊢⊢⊢⊢⊢⊢⊣⊢⊙≻≻⋈  
mistake	⊢⊢⊣⊢⊢⊤⊤∈◻⊤⊣≻  
mix	⊢⊢⊢⊢⊢⊢⊢⊢⊤∋⊙⊢  
mixed	⊢⊢⊢⊢⊢≻⋈∈∈⊥◻∋  
mixture	⊢⊢⊣⊢⊢∈⋈≺⊥⊙⊤⊙  
mobile	⊢⊢⊢⊢⊤⊤⊣⊞⋈◻⊣≻  
model	⊢⊢⊢⊢⊢≻⋈◻∈⊙⊞⊥  
modify	⊢⊢⊢⊢⊤⊤≻⊢≺∋⊤⊞  
mom	⊢⊢⊢⊢⊢⊢⊢⊢⊤⊙⊙∋  
moment	⊢⊢⊢⊢⊤⊤≻⊙⊙∈⊞⊙  
monitor	⊢⊢⊣⊢≻⊥⋈⊢◻⊢⊞∈  
monkey	⊢⊢⊢⊢⊤⊤≻⊥⊞⋈≺∋  
monster	⊢⊢⊣⊢≻⊥⋈⊞⋈⊥⊞∈  
month	⊢⊢⊢⊢⊢≻⋈◻◻≻≺⊙  
moon	⊢⊢⊢⊢⊢⊢⊣⊢⊞∋⊥⊤  
moral	⊢⊢⊢⊢⊢≻⊤⊢⊢∋⊢≺  
more	⊢⊢⊢⊢⊢⊢⊣⊢⊞⊙≺⊤  
morning	⊢⊢⊣⊢≻⊞⊢◻⊥∈∋⋈  
mosquito	⊢≻≺∈⊤⊣∋∈∋⊢⊞≺  
mother	⊢⊢⊢⊢⊤⊤≺≺⊤⊤≻≺  
motion	⊢⊢⊢⊢⊤⊤≺≺∈⊢⊣≻  
motor	⊢⊢⊢⊢⊢≻⊤⊢⊣∋⊥⊥  
mountain	⊢≻≺∈⊤⊞⊙⋈⊤⊢≺⊤  
mouse	⊢⊢⊢⊢⊢≻⊤⊢≻⊣∈⊤  
move	⊢⊢⊢⊢⊢⊢⊣⊢⊞⊥⊢⊤  
movie	⊢⊢⊢⊢⊢≻⊤⊢≻⋈⊙⊙  
much	⊢⊢⊢⊢⊢⊢⊣⊣⊢◻⊞⊤  
muffin	⊢⊢⊢⊢⊤∈≻◻⊞⊤∈⊤  
mule	⊢⊢⊢⊢⊢⊢⊣⊣⊣⊣∈⊤  
multiply	⊢≻≺◻∋≻◻⊣≺∈⋈⋈  
muscle	⊢⊢⊢⊢⊤∈⋈⊢⊣≺⊥⊤  
museum	⊢⊢⊢⊢⊤∈⋈⊢≻≺∋⊞  
mushroom	⊢≻≺◻⊥⊞⊤⊞⊣⊤∈⋈  
music	⊢⊢⊢⊢⊢≻⊤⊤⊥⊤∋⊥  
must	⊢⊢⊢⊢⊢⊢⊣⊣⊣≻◻⊤  
mutual	⊢⊢⊢⊢⊤∈⋈⊣⊙⊣∋⊢  
myself	⊢⊢⊢⊢⊤∋⊢∈⊙⋈≻⊢  
mystery	⊢⊢⊣⊢∈⊞⋈≻⊥⊤⊥∋  
myth	⊢⊢⊢⊢⊢⊢⊣⊣≻◻≺⊙  
naive	⊢⊢⊢⊢⊢≻∈⊢⊣≻≺⊤  
name	⊢⊢⊢⊢⊢⊢⊣⊣⋈⊣⊣◻  
napkin	⊢⊢⊢⊢⊤∋∈⊙◻≺∋◻  
narrow	⊢⊢⊢⊢⊤∋∈◻⊣⊣∋◻  
nasty	⊢⊢⊢⊢⊢≻∈⊢⊤⋈⊙⊣  
nation	⊢⊢⊢⊢⊤∋∋⊢⊙⊣⋈◻  
nature	⊢⊢⊢⊢⊤∋∋⊣⊣≻∋◻  
near	⊢⊢⊢⊢⊢⊢⊣⊣⊤∋≺⊢  
neck	⊢⊢⊢⊢⊢⊢⊣⊣⊤∋∈◻  
need	⊢⊢⊢⊢⊢⊢⊣⊣⊤∋⊞⊞  
negative	⊢≻⋈⊥≺⊞⊥∈⊞≻≺⊤  
neglect	⊢⊢⊣⊢⊥⊤⊥∋⊤◻⊢≻  
neither	⊢⊢⊣⊢⊥∈≻∈⊤⊤≻≺  
nephew	⊢⊢⊢⊢⊤⊙≺≺⋈≻⊢⊤  
nerve	⊢⊢⊢⊢⊢≻∈⋈≻∈∋≻  
nest	⊢⊢⊢⊢⊢⊢⊣⊣⊤⊞∋⊙  
net	⊢⊢⊢⊢⊢⊢⊢⊢⊤◻◻⊤  
network	⊢⊢⊣⊢⊥⊙≻≺⊤⊥≺≻  
neutral	⊢⊢⊣⊢⊥⊙⋈≻⋈⊣⊥≺  
never	⊢⊢⊢⊢⊢≻∈⋈≺◻⊥⊢  
news	⊢⊢⊢⊢⊢⊢⊣⊣⊤◻⋈∋  
next	⊢⊢⊢⊢⊢⊢⊣⊣⊤◻∈◻  
nice	⊢⊢⊢⊢⊢⊢⊣⊣∋≺⊥⊤  
night	⊢⊢⊢⊢⊢≻∈∋∋≺⊣⊙  
noble	⊢⊢⊢⊢⊢≻∋⊣⊣∈∋≻  
noise	⊢⊢⊢⊢⊢≻∋⊣⋈∋⋈≻  
nominee	⊢⊢⊣⊣⊣∈⊞⊞∈∈⊢⊤  
noodle	⊢⊢⊢⊢⊤⊞⊢∈∈∋⊞◻  
normal	⊢⊢⊢⊢⊤⊞⊢⊥⊙⊤∈≺  
north	⊢⊢⊢⊢⊢≻∋⊣⊙⊤⊣⊤  
nose	⊢⊢⊢⊢⊢⊢⊣⊣⊞⊣⊣◻  
notable	⊢⊢⊣⊣⊣⊙⊣⊣◻≺⊢⊤  
note	⊢⊢⊢⊢⊢⊢⊣⊣⊞⊣⋈≻  
nothing	⊢⊢⊣⊣⊣⊙⊣⊙⊥◻⊙⊣  
notice	⊢⊢⊢⊢⊤⊞⊢◻⊤∈◻⊙  
novel	⊢⊢⊢⊢⊢≻∋⊣⊥⊞∋⊢  
now	⊢⊢⊢⊢⊢⊢⊢⊢∈⊣⊞≻  
nuclear	⊢⊢⊣⊣≺⊥◻⊙∋◻⋈∈  
number	⊢⊢⊢⊢⊤◻⊣≻⋈≻∈⊥  
nurse	⊢⊢⊢⊢⊢≻∋∋⋈⊥⊢⊤  
nut	⊢⊢⊢⊢⊢⊢⊢⊢∈≻◻⊤  
oak	⊢⊢⊢⊢⊢⊢⊢⊢∈⋈≻⊤  
obey	⊢⊢⊢⊢⊢⊢⊣≻≺⊥∈∋  
object	⊢⊢⊢⊢∈⊢∈⊢∋∋⊥◻  
oblige	⊢⊢⊢⊢∈⊢∈≻⊙≻⊣≻  
obscure	⊢⊢⊣⊣∋≺≻∈∋≺⊥⊤  
observe	⊢⊢⊣⊣∋≺≻⊙⋈⊞⊙⊙  
obtain	⊢⊢⊢⊢∈⊢∈⊥◻◻∈⊤  
obvious	⊢⊢⊣⊣∋≺⊥⋈◻⊥⊞∋  
occur	⊢⊢⊢⊢⊢≻⊙≺⋈◻⊥⊢  
ocean	⊢⊢⊢⊢⊢≻⊙≺⊤∈⊣≻  
october	⊢⊢⊣⊣∋⊙≺≻◻⊣≺⊢  
odor	⊢⊢⊢⊢⊢⊢⊣≻⋈⊥∈⊢  
off	⊢⊢⊢⊢⊢⊢⊢⊢∈⊤⊣≺  
offer	⊢⊢⊢⊢⊢≻⊙∈⋈≻⊢⊢  
office	⊢⊢⊢⊢∈⊣≻≺⊤◻⊤⊙  
often	⊢⊢⊢⊢⊢≻⊙∈⊞⊢⊞≻  
oil	⊢⊢⊢⊢⊢⊢⊢⊢∈⊤⊙∈  
okay	⊢⊢⊢⊢⊢⊢⊣≻∋∈⋈⋈  
old	⊢⊢⊢⊢⊢⊢⊢⊢∈∈≻∋  
olive	⊢⊢⊢⊢⊢≻⊥⊢≻⊢⋈◻  
olympic	⊢⊢⊣⊣◻⋈⋈⊥⊤⊞⊞⊥  
omit	⊢⊢⊢⊢⊢⊢⊣≻⊙⊤◻⊤  
once	⊢⊢⊢⊢⊢⊢⊣≻⊙⊥⊥⊤  
one	⊢⊢⊢⊢⊢⊢⊢⊢∈∈∋≻  
onion	⊢⊢⊢⊢⊢≻⊥≻⊢⊙∈⊤  
online	⊢⊢⊢⊢∈≻∋⊞≻⊞⊣◻  
only	⊢⊢⊢⊢⊢⊢⊣≻⊙◻∋⋈  
open	⊢⊢⊢⊢⊢⊢⊣≻⊥⊙⋈≻  
opera	⊢⊢⊢⊢⊢≻⊥≺⊥⊞⊣∋  
opinion	⊢⊢⊣≻⊢⊙⊥⋈⊢⊥⊣≻  
oppose	⊢⊢⊢⊢∈≺⊢⊤∈⊣⋈≻  
option	⊢⊢⊢⊢∈≺⊢⊥⊣⊣⊢⊤  
orange	⊢⊢⊢⊢∈≺≺∈⊤⊙⊞≻  
orbit	⊢⊢⊢⊢⊢≻⊥⊤∋≻⊥≻  
orchard	⊢⊢⊣≻⊣⊤≺⋈≺≺◻∋  
order	⊢⊢⊢⊢⊢≻⊥⊤⊙⊢⊣∈  
ordinary	⊢≻∋⊥≺≺∋⋈⊞⋈⊤⊞  
organ	⊢⊢⊢⊢⊢≻⊥⊤⊥≻∈⊤  
orient	⊢⊢⊢⊢∈≺⋈⊣⊥≻≻⊤  
original	⊢≻∋⊥⊤≺≺⊣≻⋈⋈⊥  
orphan	⊢⊢⊢⊢∈≺⋈⊙⊤◻⊙⊙  
ostrich	⊢⊢⊣≻≻⊣≻⊣⊙⊤≺⊙  
other	⊢⊢⊢⊢⊢≻⊥∋⊙⊤⊥⊢  
outdoor	⊢⊢⊣≻≻⊞⊙⋈∋≻⊥⊢  
outer	⊢⊢⊢⊢⊢≻⊥⊥⊢◻≻≺  
output	⊢⊢⊢⊢∈≺◻⊤⊤⊞⊤⊤  
outside	⊢⊢⊣≻≻⊞⊥∈∋⋈∈⊤  
oval	⊢⊢⊢⊢⊢⊢⊣≺⊢⊣◻∈  
oven	⊢⊢⊢⊢⊢⊢⊣≺⊢≻⊙⊙  
over	⊢⊢⊢⊢⊢⊢⊣≺⊢≻⊥⊢  
own	⊢⊢⊢⊢⊢⊢⊢⊢∈⊙⋈≻  
owner	⊢⊢⊢⊢⊢≻⊥⊞⊥≻≻≺  
oxygen	⊢⊢⊢⊢∈⋈∈≻⊥⋈◻⊙  
oyster	⊢⊢⊢⊢∈⋈∋◻≻⊣≺⊢  
ozone	⊢⊢⊢⊢⊢≻⊞⊣∋⊞⊞◻  
pact	⊢⊢⊢⊢⊢⊢⊣≺≻⊙⊥≻  
paddle	⊢⊢⊢⊢∈⊤⊣⊣≺≻⊞≻  
page	⊢⊢⊢⊢⊢⊢⊣≺≻⊥⋈◻  
pair	⊢⊢⊢⊢⊢⊢⊣≺≻⊥⊞∈  
palace	⊢⊢⊢⊢∈⊤⊣⊙⊙◻⊤⊙  
palm	⊢⊢⊢⊢⊢⊢⊣≺≻⊞⋈⊞  
panda	⊢⊢⊢⊢⊢≻⊞≺∈⊣≺⊞  
panel	⊢⊢⊢⊢⊢≻⊞≺∈⊣∋⊢  
panic	⊢⊢⊢⊢⊢≻⊞≺∈≻≺≺  
panther	⊢⊢⊣≻⊤∋⋈⊤∋⊤⋈∈  
paper	⊢⊢⊢⊢⊢≻⊞≺∈◻⊥⊢  
parade	⊢⊢⊢⊢∈⊤≻≻⊤≺⊥⊤  
parent	⊢⊢⊢⊢∈⊤≻≻∋≻⊢≻  
park	⊢⊢⊢⊢⊢⊢⊣≺≻◻∈≻  
parrot	⊢⊢⊢⊢∈⊤≻≺⊢⊙⊢≻  
party	⊢⊢⊢⊢⊢≻⊞≺⊙⊢⊙⊞  
pass	⊢⊢⊢⊢⊢⊢⊣≺≻◻⊥⊣  
patch	⊢⊢⊢⊢⊢≻⊞≺⊙∋∈⊙  
path	⊢⊢⊢⊢⊢⊢⊣≺≻◻⊞⊤  
patient	⊢⊢⊣≻⊤⊙⋈⋈⊞≺⊙⊤  
patrol	⊢⊢⊢⊢∈⊤≻⋈◻⊤⋈⊢  
pattern	⊢⊢⊣≻⊤⊙⊤≺≺∋◻⊙  
pause	⊢⊢⊢⊢⊢≻⊞≺⊥≺∋≻  
pave	⊢⊢⊢⊢⊢⊢⊣≺≺⊢≻⊙  
payment	⊢⊢⊣≻⊤⊥≺⋈⊥∋≺≻  
peace	⊢⊢⊢⊢⊢≻⊞∈⊞≻⊣≻  
peanut	⊢⊢⊢⊢∈⊤⊥⊤≺∋⊤⊤  
pear	⊢⊢⊢⊢⊢⊢⊣≺⋈⋈∋∈  
peasant	⊢⊢⊣≻∋⊢≺≺≻≻⋈⊙  
pelican	⊢⊢⊣≻∋≻⊣◻∋◻⋈≻  
pen	⊢⊢⊢⊢⊢⊢⊢⊢∈⊞⊢⊤  
penalty	⊢⊢⊣≻∋≻⊤∋⊙⊢≻⊣  
pencil	⊢⊢⊢⊢∈⊤⊞⊤≻⊞⋈⊥  
people	⊢⊢⊢⊢∈⊤⊞∈∋⊥⋈◻  
pepper	⊢⊢⊢⊢∈⊤⊞∋∋⊢⊞∈  
perfect	⊢⊢⊣≻∋≺≻∈∋◻≻⊤  
permit	⊢⊢⊢⊢∈⊤⊞⊥⋈∋⊥◻  
person	⊢⊢⊢⊢∈⊤⊞⊥∋≺≺⊤  
pet	⊢⊢⊢⊢⊢⊢⊢⊢∈⊞⊢◻  
phone	⊢⊢⊢⊢⊢≻⊞⊞≻⊤⊣≻  
photo	⊢⊢⊢⊢⊢≻⊞⊞≻∈≺∈  
phrase	⊢⊢⊢⊢∈∈⊤⊣⊞⋈∈⊤  
physical	⊢≻⊥⊣≺∋◻∋⊢◻∈≺  
piano	⊢⊢⊢⊢⊢≻⊞⊞∋⊞◻⊥  
picnic	⊢⊢⊢⊢∈∈∈⊣⊙⋈⊙∈  
picture	⊢⊢⊣≻⊙∋⊞⋈⊢≻⊞≻  
piece	⊢⊢⊢⊢⊢≻⊞⊞⊥⊤⊣≻  
pig	⊢⊢⊢⊢⊢⊢⊢⊢∈⊞⊙⊞  
pigeon	⊢⊢⊢⊢∈∈∈⊤≻≺⊣≻  
pill	⊢⊢⊢⊢⊢⊢⊣≺∈≻⊞⊥  
pilot	⊢⊢⊢⊢⊢≻⊞◻⊢∈⊞⊙  
pink	⊢⊢⊢⊢⊢⊢⊣≺∈≺≺≻  
pioneer	⊢⊢⊣≻⊙⊥◻⊤≺∈⊣∈  
pipe	⊢⊢⊢⊢⊢⊢⊣≺∈≺∋≻  
pistol	⊢⊢⊢⊢∈∈∋⊤⊣≺≺≺  
pitch	⊢⊢⊢⊢⊢≻⊞◻≺⊥⊢⊙  
pizza	⊢⊢⊢⊢⊢≻⊞◻∈∋⊙⋈  
place	⊢⊢⊢⊢⊢≻◻⊣⊤⊞⊞◻  
planet	⊢⊢⊢⊢∈∋⊢⋈⊙≻⋈⊙  
plastic	⊢⊢⊣≻⊥⊥⊞◻⊙⊤⊞⊢  
plate	⊢⊢⊢⊢⊢≻◻⊣∈≻⊣≻  
play	⊢⊢⊢⊢⊢⊢⊣≺∋⋈⊣⋈  
please	⊢⊢⊢⊢∈∋⊢⊙⊢⊤⊞≻  
pledge	⊢⊢⊢⊢∈∋⊢⊙⊣∈⊥⊤  
pluck	⊢⊢⊢⊢⊢≻◻≻≻⋈≻⊤  
plug	⊢⊢⊢⊢⊢⊢⊣≺∋∋⊙⊞  
plunge	⊢⊢⊢⊢∈∋⊣◻⊙⊢⋈◻  
poem	⊢⊢⊢⊢⊢⊢⊣≺⊙∋◻∋  
poet	⊢⊢⊢⊢⊢⊢⊣≺⊙⊙⊢≻  
point	⊢⊢⊢⊢⊢≻◻⋈∋∋∋⊙  
polar	⊢⊢⊢⊢⊢≻◻⋈⊙⊙⋈∈  
pole	⊢⊢⊢⊢⊢⊢⊣≺⊙⊥≻⊙  
police	⊢⊢⊢⊢∈∋∋∋⊥◻⊞≻  
pond	⊢⊢⊢⊢⊢⊢⊣≺⊙⊥∋⊣  
pony	⊢⊢⊢⊢⊢⊢⊣≺⊙⊥⊙⊞  
pool	⊢⊢⊢⊢⊢⊢⊣≺⊙⊥⊞⊢  
popular	⊢⊢⊣≻◻≺⊢⊣⊙≺≺⊥  
portion	⊢⊢⊣≻◻≺⋈≺⊞◻⊣◻  
position	⊢≻⊥∋⋈⊥∋⊥⊞∋⊥⊤  
possible	⊢≻⊥∋⋈◻⋈≺⊤⊥⊥⊤  
post	⊢⊢⊢⊢⊢⊢⊣≺⊙⊞∋⊙  
potato	⊢⊢⊢⊢∈∋⊙≺≻⊢⊣≺  
pottery	⊢⊢⊣≻◻≺⊙∋⊢⋈⊙⊣  
poverty	⊢⊢⊣≻◻≺◻⊙∈⊣⊙⊣  
powder	⊢⊢⊢⊢∈∋⊙∈⊣≻∈⊥  
power	⊢⊢⊢⊢⊢≻◻⊤⊣⋈⊥⊥  
practice	⊢≻⊥⊥⊤◻≺⊞⊞⋈⊞◻  
praise	⊢⊢⊢⊢∈⊙⊣≻≺∈◻⊙  
predict	⊢⊢⊣≺⊢≺⋈≺⊤⊙≻⊤  
prefer	⊢⊢⊢⊢∈⊙⊣⊤◻⊙⊢⊢  
prepare	⊢⊢⊣≺⊢≺⊤≻∋≻∋◻  
present	⊢⊢⊣≺⊢≺⊤⊤∋⊢≺◻  
pretty	⊢⊢⊢⊢∈⊙⊣∈⊤⊥⊙⊞  
prevent	⊢⊢⊣≺⊢≺⊤⊙⊤≻⋈⊙  
price	⊢⊢⊢⊢⊢≻◻∋⊤∋∈⊤  
pride	⊢⊢⊢⊢⊢≻◻∋⊤∋⊙⊙  
primary	⊢⊢⊣≺⊢⋈⊣∈≺≻◻⊞  
print	⊢⊢⊢⊢⊢≻◻∋⊤⊥⊙⊤  
priority	⊢≻⊥⊥⊥≺⊞⊙⋈∋⊣⋈  
prison	⊢⊢⊢⊢∈⊙⊣⊞≻⊞⋈◻  
private	⊢⊢⊣≺⊢⋈≻≻⊥⊥⋈◻  
prize	⊢⊢⊢⊢⊢≻◻∋⊤◻⊞≻  
problem	⊢⊢⊣≺⊢⊤⊣⊤◻∋◻∋  
process	⊢⊢⊣≺⊢⊤⊣∈⊙≺⊞∋  
produce	⊢⊢⊣≺⊢⊤⊣⊙≻≻⊤⊙  
